category,fact
Mathematics,A triangle has interior angles that sum to 180 degrees in Euclidean geometry.
Mathematics,An integer is a whole number that can be positive negative or zero.
Mathematics,In Euclidean geometry the angles of a triangle sum to 180 degrees.
Mathematics,Negative numbers are less than zero on the number line.
Mathematics,Parallel lines never intersect in Euclidean geometry.
Mathematics,"Pi is an irrational number, so its decimal expansion never ends or repeats."
Mathematics,Pi is the ratio of a circle’s circumference to its diameter.
Mathematics,Pi represents the ratio of a circle s circumference to its diameter.
Mathematics,Prime numbers are divisible only by 1 and themselves.
Mathematics,Prime numbers are integers greater than 1 with no positive divisors other than 1 and themselves.
Mathematics,The Fibonacci sequence appears in many natural growth patterns.
Mathematics,The square root of 2 is an irrational number.
Mathematics,There are more possible chess games than atoms in the observable universe.
Mathematics,Zero as a number was developed independently in more than one ancient culture.
Mathematics,Zero is the additive identity in arithmetic.
Meteorology,A single cloud can weigh more than a million kilograms.
Meteorology,Hail forms when strong updrafts carry raindrops into freezing layers of a storm cloud.
Meteorology,Tornadoes form from rotating thunderstorms under the right conditions.
Nature,Octopuses have three hearts and blue blood.
Nature,"A group of flamingos is called a ""flamboyance."""
Ocean,Coral reefs support roughly a quarter of all marine species.
Ocean,More than 80 percent of the ocean remains unmapped in high detail.
Ocean,Phytoplankton form the base of many marine food webs.
Ocean,The Mariana Trench is the deepest known part of the world’s oceans.
Paleontology,Many dinosaur species lived during different periods rather than all at the same time.
Paleontology,Sharks existed before trees appeared on Earth.
Physics,"A bolt of lightning can heat air to about 30,000°C."
Physics,A teaspoon of neutron star material would weigh billions of tons on Earth.
Physics,Absolute zero is defined as 0 kelvin and represents the lowest possible temperature.
Physics,Absolute zero is defined as 0 kelvin.
Physics,Absolute zero is the lowest possible temperature in thermodynamics.
Physics,Black holes can bend spacetime so strongly that not even light can escape.
Physics,Black holes form when massive stars collapse under their own gravity.
Physics,Energy cannot be created or destroyed according to the law of conservation of energy.
Physics,Gravity on Earth's surface accelerates objects at about 9.81 metres per second squared.
Physics,Lightning can heat surrounding air to temperatures hotter than the Sun's surface.
Physics,Mass and energy are related by Einstein s equation E equals mc squared.
Physics,Neutrinos can pass through entire planets with almost no interaction.
Physics,Pressure increases with depth in fluids.
Physics,Sound travels faster in water than in air.
Physics,Standard gravity on Earth is approximately 9.81 metres per second squared.
Physics,The absolute zero is 0 kelvin.
Physics,The boiling point of water is 100 degrees Celsius at standard pressure.
Physics,The Doppler effect changes the observed frequency of a wave when source and observer move relative to each other.
Physics,The Doppler effect explains why the pitch of a siren changes as it moves past you.
Physics,The freezing point of water is 0 degrees Celsius at standard pressure.
Physics,"The speed of light in vacuum is about 299,792 kilometres per second."
Physics,The speed of light in vacuum is approximately 299792 kilometres per second.
Physics,"The speed of light is about 299,792 kilometers per second."
Physics,"The speed of light is approximately 299,792 kilometres per second."
Physics,The standard gravity on Earth is about 9.81 metres per second squared.
Physics,Water boils at standard pressure at 100 degrees Celsius.
Physics,Water can boil and freeze at the same time under specific pressure conditions.
Physics,Water freezes at standard pressure at 0 degrees Celsius.
Psychology,"Habits often form through repeated cues, routines, and rewards."
Psychology,Humans are generally poor at multitasking on demanding cognitive tasks.
Psychology,"Memory is reconstructive, not a perfect recording of events."
Psychology,Sleep plays a central role in learning and memory consolidation.
Science,The speed of light is approximately 299792 kilometers per second in a vacuum.
Science,Honey never spoils. Archaeologists have found edible honey in ancient Egyptian tombs.
Space,Mars has the tallest volcano known in the Solar System: Olympus Mons.
Space,The Great Wall of China is not visible from space with the naked eye.
Space,The Hubble Space Telescope helped refine estimates of the age of the universe.
Space,The International Space Station can be seen from Earth without a telescope.
Space,Voyager 1 is the most distant human-made object from Earth.
Technology,Artificial intelligence systems can analyse large datasets to detect patterns.
Technology,Central processing units execute instructions in computer programs.
Technology,Cloud computing allows remote servers to store and process data.
Technology,Fiber optic cables transmit data using light pulses.
Technology,Fiber optic cables transmit data using pulses of light.
Technology,Fiber-optic cables transmit data using pulses of light.
Technology,Modern smartphones combine computing communication and sensor technologies.
Technology,Open source software allows users to inspect and modify the source code.
Technology,Open-source software allows public access to source code.
Technology,QR codes were invented for tracking parts in manufacturing.
Technology,QR codes were originally developed for tracking automotive parts.
Technology,Solid state drives store data using flash memory rather than spinning disks.
Technology,"Solid-state drives have no moving parts, unlike traditional hard disk drives."
Technology,Solid-state drives store data on flash memory chips.
Technology,The Internet is a global network of interconnected computer systems.
Technology,The Internet is a global system of interconnected computer networks.
Technology,The World Wide Web was invented by Tim Berners Lee in 1989.
